Order,Family,Genus,species,Genus_species,Taxon_Upham_style,Specimen_Num,Mass_grams,Mass_source,Loc_mode_Categorical,Loc_Ord,Loc_Ord2,Loc_bin,gm,log_Mass,Skl,Jl,Sl,Sh,Hl,Hsw,Hdw,Hpw,Hhw,Hdcw,Hhl,Uol,Ul,Rl,Pel,Il,Isl,Fl,Fhd,Fgh,Fsw,Fdw,Tpw,Tl,Tmw,Tdw,Fbl,Fbmw,Fbpw,Fbdw,Csw,Ccw,Cl,Ctl,Ctw,Cal,Anl,Al,Atw,Mcl,Mcw,Ppl,Ppw,Ipl,Ipw,Dpl,Dpw,Mtl,Mtw,Pppl,Pppw,Pipl,Pipw,Pdpl,Pdpw,SI,HRI,HPI,HEB,HHRI,HHW,DI,OLI,BI,IM,PRTI,MRI,MANUS,MANUS2,IRI,FRI,FEB,CI,TRI,PR,PES,PES2
Diprotodontia,Acrobatidae,Acrobates,pygmaeus,Acrobates_pygmaeus,Acrobates_pygmaeus_ACROBATIDAE_DIPROTODONTIA,UWBM 68896,11.25,UWBM specimen label,G,G,A,1,-0.7820215745953637,-1.4107868637082936,-1.916454452881051,-1.9040175116308269,-1.3994060335285927,-1.3425741221767316,-1.159014298632787,-1.29386731352984,-1.169468948659672,-1.7623313881245593,-1.7392292772742937,NA,-1.4717831513770359,-0.9446441014217948,-1.091144732616361,-1.03640829192605,-1.9108115226703564,-1.9536328080239225,-1.885660702853305,-1.2016251632860355,-1.9468292277738677,-0.09369321607943779,-1.5079132477264645,-1.4874106572030965,-2.0534585609528713,-1.222401216407162,-1.7719946895207968,-2.1830920840249703,-1.4075184870272075,-1.40737566238886,-0.5939755770776324,-1.5673668452833287,-3.7755745765738036,-2.179871336870069,-2.0972837055746676,-1.8222545631845228,-2.6618239562174675,-2.003693796004381,-1.7586412135803413,-2.187261484910232,-1.692059295176676,-1.5067018371199987,-1.5138618808665538,-0.7854122618027405,-1.871457451023566,-1.247758850916466,-1.929428988174957,-1.3442990009636548,-2.0804088465593624,-2.160646696815881,-1.9704670107053146,-1.8177918338285244,-1.8022926020865333,NA,NA,NA,NA,-0.6732431677609804,-0.47797984559827966,-0.45714256049060015,-0.19053900752467037,0.40501479748448016,-1.279867078933337,-0.6845847306207727,0.08509253747502896,0.7334009780256278,0.26420436015599863,-0.9990045524274547,-0.12026102768098221,2.6268707320956226,1.4144835459704688,-0.08343095444768008,-1.0331177974018861,-1.0704149947367336,0.29280716704217785,-1.6189981701386442,0.1548869899442757,0.8823830362426133,NA
Diprotodontia,Potoroidae,Aepyprymnus,rufescens,Aepyprymnus_rufescens,Aepyprymnus_rufescens_POTOROIDAE_DIPROTODONTIA,NMNH 142097,2810.31,PanTheria,Sal,T,T,0,0.6516872872897919,1.1945777712693981,0.6995182951896629,1.115133172662121,0.7267561907164181,0.5370408316936086,0.3811819092024543,0.7314467182376887,0.8129278828544416,0.2444845691103366,0.5375827678803747,NA,0.2737671257971369,1.0407979851834877,0.592480762918043,0.5057228957623275,1.124523192769588,0.8957893608675498,1.3126091736269871,1.3673424806095449,0.9047503160526118,1.4583245259633104,1.3915812166572732,1.4497271639214966,1.0376374359110674,1.6495648296644005,1.5591474591686594,1.6871120594130977,1.3216508642445794,0.9634828670343331,0.7816355742392063,1.3253420516135406,0.8310961343300065,1.872292916351014,0.9996706650788687,1.7290872392116825,1.5578471042722681,0.5690188045708242,0.46403836615808125,0.8297627671808556,1.7270577264558773,0.27535938036587765,0.5184699282865143,-0.16061646855021072,0.8654021678995815,-0.21853557554688624,1.2566246563997387,1.3521444256820565,1.2501936954109856,2.0573963052195694,1.523956973523765,2.174696133906361,1.4068502732082961,0.9721901448518369,2.3491225691379984,0.9174524153690297,2.2821385995271544,-0.38907474438677875,0.776821816259366,0.24920104678791394,0.9780716047473189,0.2030413284325112,0.8850125253171123,-0.22153739018713137,0.863458131998512,0.4940221835302354,-3.7219031697112186,-0.4536859527817484,0.2125886327400883,-1.1468204783687803,-0.9667695903874212,-1.8477238083870682,0.2256994537383227,0.399840089275656,0.6283339976594897,0.3420096942756578,-1.4682804336463162,-0.11938112306191732,-0.48283615000021163
Rodentia,Sciuridae,Aeromys,tephromelas,Aeromys_tephromelas,Aeromys_tephromelas_SCIURIDAE_RODENTIA,AMNH 229,1187,PanTheria,G,G,A,1,0.47362177868384053,0.7878391855348102,-0.0019486672119143316,0.07031522413314104,0.7517522495255189,0.5692480989778053,1.2805208897616656,0.7653883035997481,0.5995082126396026,0.35465172101150333,0.6414898146539127,NA,0.6911373058197359,-0.22439509693589588,1.2379738348760858,1.3481737307541055,0.5943548115401363,0.7735576720992003,0.3602291699963436,1.323192246674698,0.8597450892568456,0.9351623977044888,0.6767297913207863,0.7135406096954656,0.3131527299808614,1.2864289515631002,0.8385376604184136,1.0559927488351122,0.9827447980688023,0.5946190246230667,-0.4598389902185969,NA,NA,NA,0.6005537591484702,NA,NA,NA,NA,NA,NA,0.5271643605009999,0.11843948081438722,1.0098476204571187,0.08850552763798926,1.2167727437465445,0.32970545165991016,0.5986804211260295,NA,0.5648708884736997,0.22132557736383401,0.793467433708652,0.34678875166186574,0.3125632791642932,0.3662598199323637,NA,NA,-0.3515822548447207,-0.840787081457316,-0.9600927780079483,-1.12551159984587,-1.4282764879065706,-0.022261763747536526,NA,-1.7558020332646627,0.06620225187278025,-0.19611632834395715,-1.438758370654452,-0.19482930072410679,1.192001658463356,1.504091548421114,1.4497479683598546,-1.3988727102421954,-1.698224689604775,-0.6922581389097193,-0.7390209065573455,1.2569429115969954,0.2746551828876056,0.04094326685283413
Carnivora,Ailuridae,Ailurus,fulgens,Ailurus_fulgens,Ailurus_fulgens_AILURIDAE_CARNIVORA,UWBM 82481,5170.08,PanTheria,A,A,A,1,1.5959330241309775,1.482261975723331,NA,NA,1.5979720872185135,1.9663724736323471,1.8821826074109984,1.6810758442942542,1.735874788414847,1.3922571116387694,NA,NA,NA,1.4316794647635551,1.6604746261885046,1.6414997411315317,1.076828532421102,1.1726687225864634,0.900910156248916,1.6631590935612266,NA,NA,1.537021786868774,1.572837274196979,1.4276942351245607,1.494022667776548,1.3967705276212032,NA,1.1459613308388192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7687521644446969,1.2803869262713081,2.0492361372357553,1.3734912049174806,1.698275789556974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.732334133104391,-0.2635882471397756,-0.4300813202677058,-0.2632560263317673,NA,NA,NA,-0.4500092607159394,-1.368736633888284,1.1313239127128953,0.011949459036958794,-0.1537987790409445,0.3131356428386236,0.14309405973329256,0.6444299726377976,-0.16414311972063758,-0.19928843292971066,-1.2720302221049562,0.2508104290165256,0.5599998300090719,NA,NA
Rodentia,Cricetidae,Akodon,azarae,Akodon_azarae,Akodon_aliquantulus_CRICETIDAE_RODENTIA,UWBM 72256,25.27,PanTheria,Sf,Is,B,0,-0.7274949340376299,-1.0288791916490965,NA,NA,-1.0304682880982903,-0.623131280326252,-1.1879902095082666,-1.088433116600687,-1.385982554154852,-1.8820185027698464,NA,NA,NA,-1.3115619693311613,-1.1257521285448033,-1.093684593879715,-1.1448545656621527,-1.1443094924810213,-1.0201301980549438,-1.0410097165000745,NA,NA,-0.6211649120383316,-1.1287628988560408,-1.3455532760861622,-1.0539030531306772,-0.7900043428040756,NA,-1.3289965898334772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.0837738265931263,-1.3428551715081258,-0.9788372746263776,-1.2209483420817593,-1.1069201914103939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8365302389952277,-0.04078392994690383,-0.5831956566716338,-0.5348603622629027,NA,NA,NA,-0.49985194570676966,0.5868773761103441,-0.7088233776880066,-0.07695966472340733,-0.222510585372784,0.2983451781115508,0.041192519213210994,0.16305459188756816,1.0748554769248242,-0.4617000240354957,0.2643692072167572,0.1969757740651542,-0.23748259870923838,NA,NA
Rodentia,Dipodidae,Allactaga,sibirica,Allactaga_sibirica,Allactaga_sibirica_DIPODIDAE_RODENTIA,NMNH 155194,97.5,Elton Traits,Sal,T,T,0,-0.45955607330592996,-0.3916656851698364,-0.7131689360620646,-0.8062802124257576,-0.4867815133315155,-0.3847361123077264,-0.8403796933018165,-0.7651266155851253,-0.7804678379616364,-1.033945008084034,-0.7255609023678383,NA,-1.1234264702411738,-0.5953002331351225,-0.5682408448577649,-0.5463444017370963,-0.41649470521662274,-0.5471107534979308,-0.18097802430954102,0.08909074258661606,-0.6554525517134883,-0.11187610234720954,-0.1349572258585442,-0.15696933697929313,-0.30388807362842135,0.4315220322822177,0.2877697978695154,-0.14426025378278953,0.14538036899429474,-1.1112353786662983,-1.0192613528332184,-0.8297006761903998,0.23339695545817266,-0.49233592245624586,-0.005188455319399712,0.36338507953001487,-0.21590346473066935,-0.19356372073682412,-0.213705587964558,-0.378781982150067,-0.36182219453827774,-0.7015721373412785,-0.9241610072492779,-0.7432222460549472,-0.816099214312843,-0.4208784529925462,-1.0443083934925743,-0.4920183560011306,-0.9665507125164828,1.5665593389978831,-0.27155412497422005,0.7103497283626341,-0.5413899493399915,0.24757223656042499,-0.4090861996763246,-0.16414617258636446,-0.35136918659712013,-0.037032235859800776,-0.04712285020212123,0.2128174052744587,-0.027489210963589118,0.32196836748808294,0.7686027090613294,-0.03468913879341789,-0.21248737709260523,1.6582334444073716,-3.6401063568958496,-0.2028652923623637,-0.18040694653018388,-0.15992466748102177,0.1716818148051293,-0.9594504419572565,-0.6687487975019244,-0.8458515994509532,1.4881583676666144,-0.3170172064255184,-1.076868917056881,-1.54998269406125,-1.6091261513386654
Afrosoricida,Chrysochloridae,Amblysomus,hottentotus,Amblysomus_hottentotus,Amblysomus_hottentotus_CHRYSOCHLORIDAE_AFROSORICIDA,NMNH 344221,62.6,PanTheria,F,Ss,B,0,-0.5985890741853207,-0.6007709136882636,-1.412907596644516,-1.2814672829749467,-0.44430324961696066,-0.8332607675836298,-1.1696745051161397,0.16822485819647356,0.530486362136746,-0.6907675432502082,-1.4717463165844067,NA,-0.5591714366718541,0.5188989211312154,-1.0308926104470015,-1.6145912306176533,-1.238170452939965,-1.278223338767297,-1.3259703032696075,-1.2896384854972016,-0.9852044160425129,-2.1678729831814847,-0.4122219548459283,-0.7097877312393286,-1.1561557801984057,-1.6021346680062376,-1.1265928918391026,-1.5321633391175866,-1.761144182470305,-0.4350773760891881,-0.9593472850282804,-0.8823319439442596,-1.2600509251022418,-0.775148216764547,-1.2510824531934017,-0.8775852275548397,-1.014370768628282,-1.5087932306459737,-1.1787375758826968,-1.5345250242421127,-1.3155086850929252,-2.927827456153007,0.19891672725897602,-2.305624374023982,0.6845567541292296,-0.23028039914373383,0.9540970994621434,0.8523186894336776,1.3212555458604673,NA,NA,-0.8509226689726432,-0.3139137484825585,-0.6856554615751296,-0.031230716746065316,0.015612569834436226,-0.4697182500363709,-1.49401094182162,4.2538747996127695,1.9044505583652975,6.6739363333614525,4.436387863976262,-2.2785696185070368,-0.5470524248557351,4.88661934164868,-1.7855116770078125,1.8005206063657424,-2.28300932414553,7.461278266300341,2.563156754213577,9.391693457232284,-0.15283681842875396,3.0652697980333956,2.309672057687473,-0.8508349043712945,0.6028756217493042,0.39433521489915946,NA,NA
Rodentia,Anomaluridae,Anomalurus,derbianus,Anomalurus_derbianus,Anomalurus_derbianus_ANOMALURIDAE_RODENTIA,AMNH 89389,665.84,PanTheria,G,G,A,1,0.3651100954103477,0.5150010688539306,-0.04699318704109304,-0.15496841650567267,0.6615698907794697,0.46578099384373445,1.2082851255478444,0.8200328293696066,0.4588445817159714,0.12653164321644236,0.519828179084996,NA,0.5141368701230031,0.43841039569414864,1.0034318904543884,1.0343099764968129,0.46645093821726863,0.41292469286071837,0.5724579800868649,1.0377778421497492,0.8833897999654896,-0.10578869222791798,0.6667155920342098,0.5090489608948978,0.15688735593231246,0.9366172202134957,0.6381483948159996,0.4630743838168385,0.6478725260203332,0.2343571680669228,-0.3510743906136366,0.5015062426454061,NA,NA,0.22494747439239088,NA,NA,NA,NA,NA,NA,0.5173379852447402,0.08774146141659978,1.1145455900677521,0.28212841032697805,1.2853928990155856,-0.15965507646440202,NA,NA,0.3560021834825312,-0.11084555756253789,0.706067943751905,0.17299842285880665,0.348135891799918,0.19212624145277718,NA,NA,-0.44340497555047725,-0.6569270703161508,-1.1189382466219093,-1.2117927011728313,-1.6142344144128489,0.08653678348120906,NA,-0.9462685631206554,-1.0174229092470348,0.6456194855003686,-1.197902915767723,-0.20575465921734176,1.6116987683014221,1.8440898341848035,-0.4871597232959419,-0.8751135847034851,-1.5270846641474067,-0.8368972274293791,-0.51409567063572,-0.6989545296080544,0.591968754286695,0.4630661422543615
Rodentia,Anomaluridae,Anomalurus,pelii,Anomalurus_pelii,Anomalurus_pelii_ANOMALURIDAE_RODENTIA,FMNH 62223,1769.99,PanTheria,G,G,A,1,0.823250144808773,0.9763955727566968,0.3891213961535695,0.5953197031023575,0.6895893089603108,0.891452500234518,1.6061556062529716,0.975981228378023,0.7449120225193637,0.4729392470103991,0.8218253596797928,NA,1.1268832046480466,1.177041586292588,1.455894247931404,1.4887303077547294,0.898940600911421,0.8975440842999212,0.9133324794953681,1.4671221591920716,1.3198718924657127,0.37260840576659826,0.8447489141130341,0.9516588521018131,0.6034411334625452,1.4618036460558697,1.0040851039486574,0.822469237310951,1.1118497437753803,0.507357100840952,-0.23379748271269737,0.7311244494945915,0.9410558623137418,0.5293963936339525,0.7782651606241469,0.43438452157234414,0.5198801489474607,1.1745664325535639,0.9046536304030826,1.086885244316165,0.7386055210139557,0.7343529530027967,0.21993454658798423,1.4063173304453078,0.5593997595412173,1.2552159606423983,0.3974546503259758,0.8714867965592767,NA,0.7472437398348871,0.0828858250359375,1.0385474729132387,0.37448234286134874,0.7833353231613401,NA,0.5948463532859882,NA,1.1262785940698903,-0.9720034468080749,-1.1800389875585102,-1.3249509685501806,-1.3159980620308596,-0.6154299304457398,-0.29681565592873627,-0.536519033558876,-0.830121113721639,0.410670111990204,-1.4687613028339916,-0.23295503058081868,1.8514509028466946,1.5534789299905247,-0.13406718849941845,-1.3377658672643182,-1.462845381577466,-0.621791579555858,-0.7026243909800308,-0.3708191319830409,0.40218511345148217,0.7189141558182169
Rodentia,Anomaluridae,Anomalurus,beecrofti,Anomalurus_beecrofti,Anomalurus_beecrofti_ANOMALURIDAE_RODENTIA,AMNH 52101,479.07,PanTheria,G,G,A,1,0.2825578645311766,0.359641093351409,-0.15031044351909534,-0.3081141237187365,0.6681427330203685,0.3590619159510115,1.2224483176095484,0.6577083088341706,0.28794327164961103,-0.002221556933312238,0.34688187339121945,NA,0.5387488691456067,0.20777769139391244,1.034178167820872,1.1205569973737082,0.3814928516458301,0.3810038253215498,0.4174296500086477,1.0655764738410483,0.7075306298633471,-0.011847787381391545,0.46573385532852496,0.4025041917129242,0.05979140597431937,0.896973083961562,0.48066910156686155,0.46062926873472493,0.622544006648241,0.35682105817710397,-0.4263353873125179,0.5761300249710052,NA,NA,0.39144267552560497,NA,NA,NA,NA,NA,NA,0.3568624025449999,-0.052567228544040855,1.077943190807496,0.03281949993359583,NA,NA,NA,NA,0.15325426370152803,-0.27155412497422005,0.6222520224065319,-0.13926842878910337,NA,NA,NA,NA,-0.7982289617565118,-0.9152723236800838,-1.2523070809971328,-1.4162843412466464,-1.5985627598009493,-0.4956305415223893,NA,-1.2387523227250004,-0.7122456630513131,0.7967519081652654,-1.4861056329088196,-0.20595479311879045,2.1429198548718755,NA,-0.05618274275167331,-1.3416743839307084,-1.8357740959780853,-1.087227618446523,-0.79702172039708985,-0.31585044466065104,0.9311060376814984,NA
