Order,Family,Genus,species,Genus_species,Taxon_Upham_style,Specimen_Num,Mass_grams,Mass_source,Loc_mode_Categorical,Loc_Ord,Loc_Ord2,Loc_bin,gm,log_Mass,Skl,Jl,Sl,Sh,Hl,Hsw,Hdw,Hpw,Hhw,Hdcw,Hhl,Uol,Ul,Rl,Pel,Il,Isl,Fl,Fhd,Fgh,Fsw,Fdw,Tpw,Tl,Tmw,Tdw,Fbl,Fbmw,Fbpw,Fbdw,Csw,Ccw,Cl,Ctl,Ctw,Cal,Anl,Al,Atw,Mcl,Mcw,Ppl,Ppw,Ipl,Ipw,Dpl,Dpw,Mtl,Mtw,Pppl,Pppw,Pipl,Pipw,Pdpl,Pdpw,SI,HRI,HPI,HEB,HHRI,HHW,DI,OLI,BI,IM,PRTI,MRI,MANUS,MANUS2,IRI,FRI,FEB,CI,TRI,PR,PES,PES2
NA,NA,Eomaia,scansoria,Eomaia_scansoria,NA,CAGS01-IG1,19.9896,regression on this dataset,NA,NA,NA,NA,NA,-2.0353142893990444,-1.6567805563939213,-0.9887294988562745,NA,NA,-1.232081266493388,-0.8909321952828235,NA,NA,NA,NA,NA,-1.3115619693311613,-1.3634526635928887,-1.2667620087733107,-1.9402347234842359,NA,NA,-1.3600799828168413,NA,NA,-0.7362363591940573,-1.1596598159923812,NA,-1.4001577944710006,-1.0744845434298211,NA,-1.622634007571317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9926693061871111,-1.7143178871203062,-0.8486588797367207,-1.832947967326117,-0.6672058214800113,-1.929428988174957,NA,NA,-1.915136140543905,-1.712717799383247,-1.300369853999927,-0.1492693577972954,0.4570902977757134,0.23741864320836875,-0.16606341543833728,NA,NA,0.49892348814818815,NA,NA,NA,NA,NA,-0.1089254841240585,-0.05890913149664532,0.18431388238282473,0.4179860409226657,-0.4000020906229901,0.3960136355842142,0.471387551851738,NA,1.8221597369879547,0.5420970701675988,0.26995072292579664,0.2274533566448931,NA,1.658576634435653,1.7210856079296069
NA,NA,Sinodelphys,szalayi,Sinodelphys_szalayi,NA,CAGS00-IG03,20.72737,regression on this dataset,NA,NA,NA,NA,NA,-2.029638099993756,-1.6379270541679218,-0.9677789907647093,NA,NA,-1.0916818786050528,NA,NA,NA,NA,NA,NA,-1.428887209410193,-1.5254454926432648,-1.6374558540291353,NA,NA,NA,-1.3947092265261474,NA,NA,NA,NA,NA,-1.4312216464147225,-0.6826198072574731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.091045685526639,-1.483562582174679,-0.8239982808101243,-1.5622866990630608,-0.7181413937295404,-1.8356498683874651,-1.6463813214249707,NA,-2.026323406653809,-1.6841036097556499,-1.1067717971181419,NA,0.6301450845703382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.03385743305564952,-2.144384171044162,0.31024966402616516,0.3750166973407621,-0.2827484069330091,0.7926010897383358,0.7125824963884387,NA,NA,NA,0.2993625428985211,1.7087520828694058,NA,2.7808769797485082,2.7287406298074335
NA,NA,Juramaia,sinensis,Juramaia_sinensis,NA,BMNH PM1143,32.37237,regression on this dataset,NA,NA,NA,NA,NA,-1.9648825260238312,-1.6646928339862759,-0.9929495895658964,NA,NA,-1.358775254186027,-0.9011411729447644,-1.0085223444360147,NA,NA,NA,NA,-1.428887209410193,-1.450923534421997,-1.3849327878833868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.8915771976606423,-1.483562582174679,-0.8890302529176748,-1.5929958545744354,-0.6129074127382346,-1.7911591915233287,-1.8711925920220176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7799860739993706,NA,0.6060165053107397,NA,NA,NA,-0.1673231407308586,0.001238718377403086,NA,1.0661993772626597,-0.351081468936262,-0.01566129835946535,0.22577625579137378,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Cokotherium,jiufotangensis,Cokotherium_jiufotangensis,NA,IVPP V23387,35.48063,regression on this dataset,NA,NA,NA,NA,NA,-1.952601009946787,-1.3583003605472297,-0.9845194679671796,NA,NA,-0.9941761587239072,NA,NA,NA,NA,NA,NA,-1.1356911833319079,-1.2908384289125643,-1.3785266567240189,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.7895992870835078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7318889981553317,-1.1937429875806977,-0.7759276197663227,-1.4194221366642128,-0.45797274874431,-1.4136198314521344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09159983993810891,-1.5825004363831479,NA,0.9561564840526395,-0.2925001971265415,-0.1613949113864229,0.16091283283961552,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,Ambolestes,zhoui,Ambolestes_zhoui,NA,STM33-5,41.81549,regression on this dataset,NA,NA,NA,NA,NA,-1.9313633502274272,-1.2728412869386174,-0.7122728545161996,NA,NA,-0.9244688241598387,-0.5071856512472832,NA,NA,NA,NA,NA,-1.1489690075892254,-1.0440636483236674,-0.9717691528402129,NA,NA,NA,-1.0794240534887352,NA,NA,-0.5411821550500686,NA,NA,-1.1171370805851513,-0.4679611474906914,NA,-1.3703419179604217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.7917464629285783,-1.1937429875806977,-0.8839205223518548,-1.5622866990630608,-0.6616703470548005,NA,NA,NA,-1.6704765722839912,-1.3638966204679597,NA,NA,0.9762546581595888,NA,NA,NA,NA,0.7428686056455204,NA,NA,NA,NA,NA,-0.36686511262999955,-0.1644501434421907,0.38874989033252244,0.18040119990605924,-0.2703730561557017,-0.2730597758443785,-0.05944904051936613,NA,1.5323809691464472,NA,0.1707588633489733,1.4941134716549598,NA,NA,NA
Multituberculata,Paulchoffatiidae,Rugosodon,eurasiaticus,Rugosodon_eurasiaticus,NA,BMNH 1142A,72.5,From mass range of 65–80 g reported by Yuan et al. 2013,NA,NA,NA,NA,NA,-1.866469959365959,-0.9764499058038649,-0.476442111037435,-1.0638462524955046,-1.951648336243469,-0.4720112358438654,-0.1198973774714406,-0.1279981362365614,NA,NA,NA,NA,-0.05982701450962531,-0.6669462747501688,-0.886353334088256,-0.408548627850305,-0.190458732772746,-0.7959573514583629,-0.4291811958049328,-0.6084604770247328,-0.29413261451200173,0.27926598644449957,0.024502228640487393,-0.2665486865310913,-0.729092101557521,-0.09465737164164557,-0.11117986112245887,-1.1396635700775062,0.016865082319454248,-0.24997584806008752,0.02800642560825014,NA,NA,0.5132895622021707,0.752609719286225,0.4309047031893987,1.1613131807697683,NA,NA,NA,-0.13296565009454672,-0.801262452639509,-0.3123962406888326,-0.403302099114541,NA,NA,NA,NA,-0.7274195423236308,-0.6779955174611634,-0.16016017621101808,1.1784288385269834,2.014583378927339,1.3858650088070719,NA,NA,-2.6585279520449827,0.6441759800181516,NA,0.6639373061261499,NA,NA,NA,1.1951957231497428,-1.7519350883508764,-0.1214588147523109,1.2988682200429564,-0.34337536412569347,-0.5718435485032832,NA,1.9666060105693874,2.473897460797268,1.7944600648212905,-1.0803173516287612,1.668664130714281,2.5135081148164367,1.3346537641811889,1.1169565899900493
Multituberculata,Eobaataridae,Jeholbaatar,kielanae,Jeholbaatar_kielanae,NA,IVPP V20778,50,From Wang et al. 2019,NA,NA,NA,NA,NA,-1.9092908259526942,-1.3922418923242257,-1.198855741812648,-1.0353656963487807,-1.9615781870491615,-0.997945496727537,-0.4554867677184885,-1.0157575788885347,-1.0964908660923005,-0.9538637867968637,NA,-1.5032175826444694,-1.0648510082613238,-1.450923534421997,-1.552480165399011,NA,NA,NA,-0.7781817043223799,NA,NA,-0.5805485665055176,NA,NA,-1.5575263439918376,-0.36198122394215465,NA,-1.650564557355069,0.18784813649603482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1.1430863073189232,-1.3696714654807771,-1.3867556945707915,-0.7837520479479655,-0.8328863133425257,-1.1472905613595021,NA,NA,-1.4788621265904893,-1.1119539312742954,-0.8842564917618069,-0.16112380597876216,1.019518354858245,0.4036411434923916,-6.332200430772485e-4,NA,-2.7094458976886666,1.0803607174056977,0.41218600328032257,-0.194760190540986,-0.2589074183379788,1.1763426290162438,NA,0.5788714976350854,-2.1831572536762733,-0.6289955248299349,0.019239417587667475,-0.21056977883491784,-0.5806226742708085,-0.018351402180031055,NA,0.35785038273951997,NA,-2.435069343107983,3.828645267820942,NA,1.5283628727086347,1.5652450568711802
Multituberculata,Neoplagiaulacidae,Filikomys,primaevus,Filikomys_primaevus,NA,MOR 109108A,27,From Wilson et al. 2012 (Cimexomys judithae),NA,NA,NA,NA,NA,-1.9901767049807215,-1.832166260580039,-1.581121862068684,-1.4247467734143933,-2.975624696489842,-1.112047920707689,-0.7651266155851253,-1.1058215927425918,-1.5654167960241994,-1.447584293064282,NA,-1.3091169899960617,-1.2103436240557455,-1.9133736257232257,-1.3160211060609643,-1.0275440233032793,-0.8266087374159647,-1.205742549229504,-1.0526546301229553,-1.108146288275352,-0.05216861030721759,-0.7287330683218003,-0.8646893703851896,-1.296607631710251,-1.5981147490161147,-0.8002347498103091,-1.2507874992642354,NA,-0.8235380581842227,-1.8761499968884088,-1.2766731317121938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.489473863767416,0.5315248855792756,-0.23024926736193319,-0.15461716046259397,0.7630458124240539,-0.9306187061788485,-0.237298926537756,1.3725357762930026,-0.8454822888981337,-1.0456443008149847,NA,NA,NA,NA,1.9042388487199706,0.7242689535997889,0.5292534396866129,-1.7045877029338938,1.8114073043809635,1.6296347905831585,NA,NA
Multituberculata,Ptilodontidae,Ptilodus,kummae,Ptilodus_kummae,NA,UA 9001,110,From Wilson et al. 2012,NA,NA,NA,NA,NA,-1.8226400818247155,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.030428376310651605,NA,-0.0529997870101401,-0.7149017943680741,1.0376284636765853,0.570167500256473,NA,NA,-0.6089053351450016,0.31780224255444117,NA,-0.9700704882758718,0.17835539994665528,NA,NA,-1.1920844464166092,-0.9192308270886848,-0.39844058508818514,-0.24150237675815947,0.36146951379414394,0.19496139519017006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.278058569783722,NA,-0.03906947817179766,NA,3.5720764600789656,NA,1.5404796528496085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1787127086625446,NA,-2.001293201125937,3.119830084146279,NA,0.39189737539736236,0.7010730895229909
Multituberculata,Djadochtatheriidae,Kryptobaatar,dashzevegi,Kryptobaatar_dashzevegi,NA,ZPAL MgM-I/41,83,From Wilson et al. 2012,NA,NA,NA,NA,NA,-1.8517992665974066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6257810009635483,-0.4630528970111703,-0.865254120008835,-0.8421272808416369,-0.9917834758022408,0.5913272890288805,-0.5607139455295521,-0.7002891048185039,-0.6454076482095626,-1.2420098791028256,-0.4063172944827194,-0.7664374855407327,-1.5318612649171022,-0.48036627707625035,-1.1230419221420702,NA,NA,NA,-1.165726864662077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.9336550649411643,-0.33336748420477613,-0.32632802373652525,NA,1.062782051556901,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4883952563897496,0.622058032637015,0.37295073273830154,-1.296780607340332,2.210700833578897,1.6128718761013436,1.4880036373212706,0.9187912111369638
