Genus_species,var,m_prob,Family
Caluromys_derbianus,CI,0.991,Didelphidae
Cebuella_pygmaea,CI,0.991,Callitrichidae (Cebidae)
Saimiri_sciureus,CI,0.991,Cebidae
Callithrix_geoffroyi,CI,0.99,Callitrichidae
Phalanger_gymnotis,CI,0.99,Phalangeridae
Galago_senegalensis,CI,0.989,Galagidae
Hemibelideus_lemuroides,CI,0.989,Pseudocheiridae
Mico_argentata,CI,0.989,Callitrichidae
Caluromysiops_irrupta,CI,0.988,Didelphidae
Spilocuscus_maculatus,CI,0.988,Phalangeridae
Phalanger_orientalis,CI,0.987,Phalangeridae
Saguinus_oedipus,CI,0.987,Callitrichidae
Caluromys_philander,CI,0.986,Didelphidae
Petauroides_volans,CI,0.985,Pseudocheiridae
Petaurus_breviceps,CI,0.985,Petauridae
Pseudocheirus_peregrinus,CI,0.985,Pseudocheiridae
Callimico_goeldii,CI,0.984,Callitrichidae
Caluromys_lanatus,CI,0.984,Didelphidae
Marmosa_demerarae,CI,0.984,Didelphidae
Marmosa_murina,CI,0.984,Didelphidae
Marmosa_robinsoni,CI,0.983,Didelphidae
Marmosa_regina,CI,0.982,Didelphidae
Marmosops_bishopi,CI,0.981,Didelphidae
Phascolarctos_cinereus,CI,0.981,Phascolarctidae
Saimiri_sciureus,FEB,0.995,Cebidae
Petauroides_volans,FEB,0.994,Pseudocheiridae
Petaurista_petaurista,FEB,0.993,Sciuridae
Galeopterus_variegatus,FEB,0.991,Cynocephalidae
Petaurista_elegans,FEB,0.991,Sciuridae
Callithrix_geoffroyi,FEB,0.99,Callitrichidae
Mico_argentata,FEB,0.99,Callitrichidae
Petaurus_norfolcensis,FEB,0.99,Petauridae
Cynocephalus_volans,FEB,0.989,Cynocephalidae
Petaurista_magnificus,FEB,0.989,Sciuridae
Aeromys_tephromelas,FEB,0.988,Sciuridae
Marmosa_mexicana,FEB,0.988,Didelphidae
Galago_senegalensis,FEB,0.987,Galagidae
Petaurus_breviceps,FEB,0.987,Petauridae
Caluromys_lanatus,FEB,0.986,Didelphidae
Cebuella_pygmaea,FEB,0.986,Callitrichidae (Cebidae)
Marmosops_bishopi,FEB,0.986,Didelphidae
Thylamys_elegans,FEB,0.986,Didelphidae
Monodelphis_brevicaudata,FEB,0.985,Didelphidae
Saguinus_oedipus,FEB,0.985,Callitrichidae
Caluromys_philander,FEB,0.984,Didelphidae
Marmosa_robinsoni,FEB,0.984,Didelphidae
Acrobates_pygmaeus,FEB,0.983,Acrobatidae
Gracilinanus_microtarsus,FEB,0.983,Didelphidae
Saimiri_sciureus,FRI,0.994,Cebidae
Mico_argentata,FRI,0.993,Callitrichidae
