Species,Family,Number,Sex,Status,FunFH,MC_H,MCMT,SG,HD,UO,RP,MCP,MCD,MCPD,MCM,FH,FPG,MT_F,TP,MTP,MTD,MTM,CGR,ALW,ALW2
Addax_nasomaculatus,Bovidae,FMNH_137417,female,extant,0.845384259,0.910794405,0.882337901,1.114455942,0.554028614,5.288176911,1.090583762,4.861932939,4.823874755,0.992172211,0.843575419,0.750478469,1.233484693,0.788739211,4.315004809,6.343172235,5.608259249,1.098431585,1.551552582,1.672978878,1.81166348
Addax_nasomaculatus,Bovidae,FMNH_160011,female,extant,0.845959804,0.954154577,0.897212025,1.15527751,0.547015217,5.34275017,1.123613678,5.060436486,5.030876217,0.994158554,0.787046124,0.696948841,1.207719505,0.808908507,4.142729706,6.338993711,5.579296983,1.006444683,NA,NA,1.941605839
Addax_nasomaculatus,Bovidae,FMNH_66888,male,extant,0.854069021,0.959697455,0.905317431,NA,0.560980903,5.135021097,1.098430813,5.280376671,5.535987261,1.048407643,0.863961814,0.668655346,1.2113521,0.828343399,4.407389243,6.559959002,5.861111111,1.175919732,1.498465427,1.667834891,NA
Aepyceros_melampus,Bovidae,USNM_261111,female,extant,0.845701263,1.408050197,0.985700935,1.175680859,0.707059778,5.834071312,1.058023572,7.414411248,8.327674694,1.123174102,0.904558405,0.70517188,1.179801071,1.053875702,5.064728142,8.317139526,8.362641657,1.200152207,1.486997194,1.719450801,2.044668588
Aepyceros_melampus,Bovidae,USNM_163200,male,extant,0.813704964,1.368315783,0.947685789,NA,0.749136327,5.291494942,1.133666275,8.048442907,7.97121316,0.990404387,1.149132948,0.723780146,1.191930012,1.025486755,5.324814211,8.560865016,8.294694153,1.273631841,1.44288,1.704416266,1.778210117
Alcelaphus_buselaphus,Bovidae,USNM_164705,female,extant,0.907807489,1.196638168,1.00809766,NA,0.656127952,5.153813856,1.137095172,6.198148611,6.171898356,0.995764823,0.905770029,0.70646438,1.247476842,0.917662435,4.510422616,7.355582161,6.623989218,1.226724554,1.471789597,1.593723494,1.709869203
Alcelaphus_buselaphus,Bovidae,USNM_163149,female,extant,0.912834205,1.120189406,1.022154446,NA,0.654930876,3.809333333,1.177777778,6.105769231,5.886801659,0.964137595,0.853321829,0.680469716,1.216529594,0.86618478,4.323550063,6.462359704,5.89143998,1.140602582,1.45849002,1.577984702,1.777878513
Alcelaphus_buselaphus,Bovidae,USNM_163133,female,extant,0.918776915,1.114570642,1.029466928,NA,0.607959356,5.254278037,1.088728104,5.825471698,5.637982196,0.967815567,0.808823529,0.70569302,1.271903323,0.861167941,4.268933749,6.624240751,5.798211696,1.061962134,1.481259798,1.593399751,1.811403509
Alces_alces,Cervidae,FMNH_20336,female,extant,NA,0.905522529,0.850719002,1.153872752,0.729587567,5.339821662,1.054121675,5.3578238,5.102050399,0.9522617,0.861296346,0.807153966,1.153043943,0.897942445,NA,6.813122333,5.960024887,1.124771202,1.540071712,1.610779634,1.673076923
Alces_alces,Cervidae,USNM_251053,female,extant,0.850674749,0.912880957,0.853932267,1.044308491,0.720402036,5.786901637,1.061167883,5.547352995,5.271192341,0.950217581,0.834570835,0.80840963,1.130455635,0.923299227,4.568036341,7.101121346,5.738349515,1.077469335,1.55613941,1.591063109,NA
Alces_alces,Cervidae,FMNH_20338,male,extant,0.866011476,0.86382066,0.844383646,1.080032468,0.69113558,5.02175952,1.070836939,5.245909452,5.005001516,0.954076993,0.827371695,0.879058032,1.179302568,0.899305556,4.394178455,6.700188453,5.879284426,1.098113208,1.529949239,1.585670963,NA
Alces_alces,Cervidae,FMNH_20339,male,extant,0.867981791,0.888776003,0.868352483,1.182215743,0.713221802,5.041388392,1.071437446,5.261954887,5.071304348,0.963768116,0.827315156,0.812222551,1.145649966,0.893463704,4.297344667,6.419786522,5.642257071,1.066166622,1.537170696,1.640352522,1.769670959
Alces_alces,Cervidae,USNM_275127,male,extant,NA,NA,NA,1.028331412,0.654263566,5.610976683,1.05262462,NA,NA,NA,NA,0.93244916,1.127045413,NA,4.529042965,NA,NA,NA,1.535534884,1.62992126,1.780780781
Alces_alces,Cervidae,USNM_A14646,unknown,extant,0.869639042,0.878678197,0.860397165,1.135426173,0.735777342,5.283418395,1.041774744,5.521180556,5.095657747,0.922929018,0.801460644,0.862690222,1.138732009,0.906686945,4.313932477,6.830900018,5.651681957,1.108956602,1.545083223,NA,1.863523573
Ammodorcas_clarkei,Bovidae,FMNH_1374,male,extant,0.866871938,1.739766474,1.073096026,1.011446013,0.675044883,6.844700082,1.050085763,10.47938561,11.08896493,1.058169376,1.092155369,0.802094241,1.123163186,1.17624148,5.797572605,9.556962025,9.103240392,1.344011142,1.431475767,NA,1.950668896
Ammodorcas_clarkei,Bovidae,FMNH_1372,male,extant,NA,NA,NA,1.008016032,0.715729202,7.204826199,1.098009188,NA,NA,NA,NA,0.728991597,1.130230659,NA,6.046351537,NA,NA,NA,1.415783274,1.580612757,1.974658869
Ammotragus_lervia,Bovidae,USNM_A49996,female,extant,0.830380656,0.757163872,0.981391092,1.278271405,0.586996578,4.851755266,1.070881226,4.32974428,4.069576218,0.939911448,0.676502146,0.902726355,1.102850539,0.609463605,4.624272974,5.109898675,4.331681533,0.907568238,1.530432872,1.551184622,1.738359202
Ammotragus_lervia,Bovidae,FMNH_52423,male,extant,0.831056394,0.712949102,0.971797114,1.269949676,0.615562226,4.547681084,1.099468489,4.128482972,3.77014419,0.91320328,0.750617284,0.830458835,1.11043398,0.597804304,4.780567686,5.000728863,4.0335097,0.906584131,1.46705314,1.56053068,1.792672773
Ammotragus_lervia,Bovidae,USNM_13069,male,extant,0.838931475,0.754451194,1.008611033,1.248890406,0.584103512,4.499065738,1.048721072,4.497970653,3.949287281,0.878015351,0.712354312,0.902809917,1.080168038,0.602420817,4.800433448,5.054493984,4.331109763,0.829698858,1.529802658,1.572882736,1.894324853
Antidorcas_marsupialis,Bovidae,FMNH_34488,female,extant,0.816939807,1.596302698,0.960872122,1.217354676,0.684091642,5.463695183,1.1348659,8.784946237,9.081658829,1.033775118,1.029895366,0.73389063,1.153862524,1.151706173,5.67018723,9.66215035,8.979285134,1.483924155,1.458475085,1.680851064,1.606681853
Antidorcas_marsupialis,Bovidae,FMNH_34498,male,extant,0.829605432,1.528590661,0.956546801,1.053783383,0.726122707,5.103433195,1.137495616,8.342227378,9.033919598,1.082914573,0.933476395,0.744470908,1.212082805,1.160014402,5.603344171,9.588860544,9.138168558,1.328616352,1.432232232,1.631253223,1.723809524
